steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
5,9.37,0.24601617455482483,4.796075344085693,5.067577838897705,0.148193359375,241,559967448
5,9.73,0.25067782402038574,6.229020118713379,6.432958126068115,0.1968994140625,243,486289790
5,9.92,0.2541036903858185,5.107928276062012,5.357922554016113,0.1390380859375,290,1673495453
5,10.4,0.26641198992729187,5.605457305908203,6.208534240722656,0.1741943359375,278,1930101586
5,10.45,0.2366468608379364,5.542183876037598,5.755683898925781,0.1746826171875,275,1970275627
5,10.98,0.25520357489585876,5.04042911529541,4.9285359382629395,0.1761474609375,238,257247396
5,11.16,0.16177794337272644,4.384274482727051,4.518866539001465,0.1466064453125,281,1939654536
5,11.18,0.20032809674739838,4.401119232177734,4.932873249053955,0.1551513671875,287,1646834150
5,11.47,0.2240946739912033,3.8300280570983887,4.077427864074707,0.1552734375,260,408197758
5,11.68,0.26976683735847473,5.997196674346924,6.009042739868164,0.203125,278,1265659043
5,11.88,0.2567135691642761,4.82302713394165,4.864546298980713,0.1700439453125,258,1011386667
6,0.96,0.24553517997264862,4.237127780914307,4.609385967254639,0.11553955078125,200,807544915
6,1.4,0.22912970185279846,4.060643672943115,4.3077497482299805,0.1424560546875,278,497256706
6,1.53,0.28968414664268494,5.559408187866211,5.7349677085876465,0.1334228515625,339,1971160843
6,1.76,0.25254425406455994,5.8767547607421875,5.907219886779785,0.123779296875,331,1070209890
6,1.76,0.26566165685653687,5.768998146057129,5.886627197265625,0.16357421875,279,2035903111
6,2.11,0.2980976104736328,5.552670478820801,5.29482364654541,0.1309814453125,309,982378705
6,2.84,0.26672449707984924,4.847647666931152,4.918385028839111,0.166748046875,313,1507143650
6,3.45,0.2560175955295563,5.049508094787598,5.402334213256836,0.1588134765625,278,1047238746
6,4.11,0.26912370324134827,6.4122514724731445,6.508052825927734,0.21044921875,334,969520965
6,4.42,0.2905518710613251,5.978382110595703,6.346776008605957,0.1846923828125,281,981494470
